Title,Genre,Director,Actors
adimai penn,drama,k. shankar,"s.a. ashokan, j.p. chandrababu, o.a.k. devar, jayalalitha j"
kasethan kadavulada,comedy,chitralaya gopu,"lakshmi, aachi manorama, venniradai moorthy, r. muthuraman"
ninaithale inikkum,"musical, romance",k. balachander,"kamal haasan, jaya prada, rajinikanth, sarath babu"
indru poyi naalai vaa,comedy,bhagyaraj,"bhagyaraj, radhika sarathkumar, kallapatti singaram"
dhavani kannavukal,drama,bhagyaraj,"bhagyaraj, shivaji ganesan, parthiban, radhika sarathkumar"
munthanai mudichu,drama,bhagyaraj,"unni mary, thavakalai, urvashi"
aan paavam,comedy,r. pandiaraajan,"janakaraj, r. pandiaraajan, pandiyan, v.k. ramasamy"
muthal mariyathai,drama,bharathiraja,"shivaji ganesan, radha, renjini, sathyaraj"
mouna ragam,"drama, romance",mani ratnam,"karthik, mohan, v.k. ramasamy, revathi"
samsaram athu minsaram,drama,visu,"chandrasekhar, dilip, delhi ganesh, ilavarasi"
nadigan,"comedy, romance",p. vasu,"sathyaraj, kushboo, goundamani, aachi manorama"
gentleman,"action, drama, thriller",s. shankar,"rajan p. dev, prabhu deva, gautami, goundamani"
amaidhi padai,"action, crime, drama",manivannan,"kasturi, manivannan, ranjitha, sathyaraj"
nattamai,"action, drama",k.s. ravikumar,"goundamani, sarath kumar, kushboo, meena"
kadhal kottai,"drama, romance",ahathian,"ajith kumar, devayani, heera rajgopal, sabitha anand"
ullathai allitha,comedy,sundar c.,"goundamani, karthik, rambha"
poove unakkaga,"comedy, drama, romance",vikraman,"anju aravind, madhan bob, charlie, jai ganesh"
iruvar,"biography, drama",mani ratnam,"mohanlal, prakash raj, aishwarya rai bachchan, gautami"
kadhalukku mariyadhai,"drama, romance",fazil,"joseph vijay, shalini, charlie, dhamu"
suryavamsam,drama,srinivasa rao bhimaneni,"venkatesh daggubati, meena, sanghavi, radhika sarathkumar"
jodi,romance,praveenkanth,"sakthi chidambaram, isha koppikar, sennalkudi lakshmi, nassar"
vaalee,"romance, thriller",s.j. suryah,"ajith kumar, simran, jyotika, vivek"
alai payuthey,"drama, musical, romance",mani ratnam,"madhavan, shalini, swarnamalya, v. natarajan"
vetri kodi kattu,comedy,cheran,"murali, parthiban, meena, malavikka"
vaanathaipola,"drama, musical, romance",vikraman,"vijayakanth, meena, prabhu deva, livingston"
rhythm,"drama, musical, romance",vasanth,"ramesh aravind, joy badlani, jyotika, lakshmi"
minnale,"comedy, drama, musical",gautham vasudev menon,"madhavan, abbas, reema sen, nagesh"
ramana,"action, drama",a.r. murugadoss,"vijayakanth, simran, ashima bhalla, yugi sethu"
azagiya theeye,drama,radha mohan,"devadarshini chetan, navya nair, prasanna, prakash raj"
imsai arasan 23 m pulikesi,comedy,chimbudeven,"vadivelu, nassar, nagesh, aachi manorama"
em magan,"drama, romance",thirumurugan,"bharath srinivasan, gopika, nassar, vadivelu"
mozhi,"comedy, musical, romance",radha mohan,"prithviraj sukumaran, jyotika, prakash raj, swarnamalya"
paruthiveeran,"action, drama, romance",ameer sultan,"karthi, priyamani, saravanan, ponvannan"
chennai 600028,"comedy, romance, sport",venkat prabhu,"shiva, jai, nitin sathya, premgi amaren"
abhiyum naanum,"comedy, drama, family",radha mohan,"prakash raj, trisha krishnan, aishwarya, ganesh venkatraman"
siva manasula sakthi,"comedy, drama, romance",m. rajesh,"jiiva, anuya bhagwat, santhanam, urvashi"
pasanga,"drama, family",pandiraj,"vimal, vega tamotia, kishore kumar g., sri ram"
vinnaithaandi varuvaayaa,"drama, romance",gautham vasudev menon,"t.r. silambarasan, trisha krishnan, vtv ganesh, raja krishnamoorthy"
madrasapattinam,"drama, history, romance",a.l. vijay,"arya, carole trangmar-palmer, amy jackson, cochin hanifa"
kumki,drama,prabu solomon,"vikram prabhu, lakshmi menon, thambi ramaiah, ashwin raja"
kadhalil sodhappuvadhu yeppadi,"comedy, romance",balaji mohan,"siddharth, amala paul, suresh, ravi raghavendra"
